Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
decorative-loom-embroidery-wall-hangers,,,,,,,,,Style#3,,,,,DL003,0.0,shopify,1,deny,manual,50.00,,true,true,"",https://cdn.shopify.com/s/files/1/0511/5274/8708/products/9_1b7a0fd6-7d11-41fc-854d-a9bd040eb56f.png?v=1658953354,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/11_099e1b4a-9999-4310-9e99-72db3d6d3811.png?v=1658953354,kg,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,Style#4,,,,,DL004,0.0,shopify,1,deny,manual,50.00,,true,true,"",https://cdn.shopify.com/s/files/1/0511/5274/8708/products/10_eefd634d-9997-4e4f-8832-a849d19c64ff.png?v=1658953354,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/17_0bb86de9-552d-4ba5-b150-1dc1d9611b05.png?v=1658953354,kg,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,Style#5,,,,,DL005,0.0,shopify,1,deny,manual,50.00,,true,true,"",https://cdn.shopify.com/s/files/1/0511/5274/8708/products/11_099e1b4a-9999-4310-9e99-72db3d6d3811.png?v=1658953354,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/19_1cc32678-3243-40e0-adb7-c0948b9947f1.png?v=1658953354,kg,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,Style#6,,,,,DL006,0.0,shopify,1,deny,manual,50.00,,true,true,"",https://cdn.shopify.com/s/files/1/0511/5274/8708/products/12_bb1dbccd-6d18-4384-94ef-96c3b918206a.png?v=1658953354,6,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/21_5c35db9d-1109-4b94-93ee-04ac6261c6ab.png?v=1658953354,kg,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,Style#7,,,,,DL007,0.0,shopify,1,deny,manual,50.00,,true,true,"",https://cdn.shopify.com/s/files/1/0511/5274/8708/products/17_0bb86de9-552d-4ba5-b150-1dc1d9611b05.png?v=1658953354,7,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/23_b9a76a8c-b026-4cfd-b629-fc964cf29379.png?v=1658953354,kg,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,Style#8,,,,,DL008,0.0,shopify,1,deny,manual,50.00,,true,true,"",https://cdn.shopify.com/s/files/1/0511/5274/8708/products/18_ace708e4-c833-4dcd-96c6-8251a78ae0ac.png?v=1658953354,8,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/29_90a22959-5862-4644-89db-e94ec6b606be.png?v=1658953354,kg,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,Style#9,,,,,DL009,0.0,shopify,1,deny,manual,50.00,,true,true,"",https://cdn.shopify.com/s/files/1/0511/5274/8708/products/19_1cc32678-3243-40e0-adb7-c0948b9947f1.png?v=1658953354,9,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/31_64611d90-c25b-426a-aeb4-7e43c9fc0508.png?v=1658953354,kg,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,Style#10,,,,,DL0010,0.0,shopify,1,deny,manual,50.00,,true,true,"",https://cdn.shopify.com/s/files/1/0511/5274/8708/products/20_362457f8-1661-4d13-bf74-b05bffedb83d.png?v=1658953354,10,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/43.png?v=1658953354,kg,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,Style#11,,,,,DL0011,0.0,shopify,1,deny,manual,50.00,,true,true,"",https://cdn.shopify.com/s/files/1/0511/5274/8708/products/21_5c35db9d-1109-4b94-93ee-04ac6261c6ab.png?v=1658953354,11,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/45.png?v=1658953354,kg,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,Style#12,,,,,DL0012,0.0,shopify,1,deny,manual,50.00,,true,true,"",https://cdn.shopify.com/s/files/1/0511/5274/8708/products/22_23b3f1c4-8d60-41af-8612-133b7e269871.png?v=1658953354,12,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/47.png?v=1658953354,kg,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,Style#13,,,,,DL0013,0.0,shopify,1,deny,manual,50.00,,true,true,"",https://cdn.shopify.com/s/files/1/0511/5274/8708/products/23_b9a76a8c-b026-4cfd-b629-fc964cf29379.png?v=1658953354,13,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/49.png?v=1658953354,kg,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,Style#14,,,,,DL0014,0.0,shopify,1,deny,manual,50.00,,true,true,"",https://cdn.shopify.com/s/files/1/0511/5274/8708/products/24_317e3d7d-5c56-4111-bce4-9cdd05971700.png?v=1658953354,14,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/53.png?v=1658953354,kg,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,Style#15,,,,,DL0015,0.0,shopify,1,deny,manual,50.00,,true,true,"",https://cdn.shopify.com/s/files/1/0511/5274/8708/products/29_90a22959-5862-4644-89db-e94ec6b606be.png?v=1658953354,15,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/57.png?v=1658953354,kg,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,Style#16,,,,,DL0016,0.0,shopify,1,deny,manual,50.00,,true,true,"",https://cdn.shopify.com/s/files/1/0511/5274/8708/products/30_93081fb2-fe47-4e22-937b-cad677c20859.png?v=1658953354,16,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/59.png?v=1658953354,kg,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,Style#17,,,,,DL0017,0.0,shopify,1,deny,manual,50.00,,true,true,"",https://cdn.shopify.com/s/files/1/0511/5274/8708/products/31_64611d90-c25b-426a-aeb4-7e43c9fc0508.png?v=1658953354,17,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/63.png?v=1658953354,kg,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,Style#18,,,,,DL0018,0.0,shopify,1,deny,manual,50.00,,true,true,"",https://cdn.shopify.com/s/files/1/0511/5274/8708/products/32_8e76d2a0-0a3e-411d-8b5d-58b5f60842ba.png?v=1658953354,18,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/65.png?v=1658953354,kg,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,Style#19,,,,,DL0019,0.0,shopify,1,deny,manual,50.00,,true,true,"",https://cdn.shopify.com/s/files/1/0511/5274/8708/products/42.png?v=1658953354,19,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/69.png?v=1658953354,kg,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,Style#20,,,,,DL0020,0.0,shopify,1,deny,manual,50.00,,true,true,"",https://cdn.shopify.com/s/files/1/0511/5274/8708/products/43.png?v=1658953354,20,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/71.png?v=1658953354,kg,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/44.png?v=1658953354,21,,,,,,,,,,,,,,,,,,,,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/45.png?v=1658953354,22,,,,,,,,,,,,,,,,,,,,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/46.png?v=1658953354,23,,,,,,,,,,,,,,,,,,,,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/47.png?v=1658953354,24,,,,,,,,,,,,,,,,,,,,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/48.png?v=1658953354,25,,,,,,,,,,,,,,,,,,,,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/49.png?v=1658953354,26,,,,,,,,,,,,,,,,,,,,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/50.png?v=1658953354,27,,,,,,,,,,,,,,,,,,,,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/53.png?v=1658953354,28,,,,,,,,,,,,,,,,,,,,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/54.png?v=1658953354,29,,,,,,,,,,,,,,,,,,,,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/57.png?v=1658953354,30,,,,,,,,,,,,,,,,,,,,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/58.png?v=1658953354,31,,,,,,,,,,,,,,,,,,,,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/59.png?v=1658953354,32,,,,,,,,,,,,,,,,,,,,,,,,
